identifier	date	year	creator	title	language	collection
cid_lvm_casabella394	1974-10-01T00:00:00Z	1974	Carlo Guenzi; Cesare De Seta; Emilio Ambasz; Alessandro Mendini; Franco Raggi; Anonima Design; Marco Dezzi Bardeschi; Pierluigi Nicolin; Bruno Viganò; Centro Design Montefibre; Ach	Casabella - numero 394	ita; English	cid-lvm; cid-arti-visive; patron-library-collection; fav-ardac; fav-becca_smith677; fav-rui_b_m_castro; fav-saras14
catv6ct-The_Americanization_Of_Andrea_Palladio	2012-04-29T00:00:00Z	2012	CATV6	The Americanization Of Andrea Palladio	English	catv6ct; community_media; newsandpublicaffairs; fav-greatscreenname_org
firstbookofarchi00pall	1733-01-01T00:00:00Z	1733	Palladio, Andrea, 1508-1580; Le Muet, Pierre, 1591-1669	The first book of architecture	eng	cdl; americana; fav-aka_azur; fav-alfrdo; fav-alvelin; fav-belle_design; fav-chris_ssss; fav-cjagne_4; fav-elzbest; fav-farrokhiran; fav-ian_burden; fav-meems71; fav-sarah_moore_ma
cia-readingroom-document-loc-hak-78-4-1-0	1975-08-07T00:00:00Z	1975	CIA Reading Room	CIA Reading Room loc-hak-78-4-1-0: HAK CHRONS AUGUST 1975	english	ciareadingroom; usgovernmentmirrors; government-documents
india.history.resource.93774	1786-01-01T00:00:00Z	1786	Palladio, Andrea; Scamozzi, Ottavio Bertotti (Illus.)	Le Fabbriche el Disegni di Andrea Palladio, 2nd ed., Vol. II	ita	IndiaHistory; JaiGyan
palladio-venetian-palazzos-villas	1991-01-01T00:00:00Z	1991	Academic Entertainment Video Corporation.	Palladio: Venetian Palazzos & Villas	eng	opensource_movies; fav-irishwriter
bim_eighteenth-century_the-first-book-of-archit_palladio-andrea_1683	1683-01-01T00:00:00Z	1683	Palladio, Andrea.	The first book of architecture ... 1683	English	pub_eighteenth-century; bim_microfilm; microfilm
bim_early-english-books-1641-1700_the-first-book-of-archit_palladio-andrea_1668	1668-01-01T00:00:00Z	1668	Palladio, Andrea	The first book of architecture, ... 1668	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-emutsa
bim_early-english-books-1641-1700_a-satyr-against-common-w_p-h_1684_0	1684-01-01T00:00:00Z	1684	P., H.	A satyr against common-wealths. 1684	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
P_MSS_0344			Biblioteca Civica 'Joppi' Udine; Ermes di Colloredo	Manoscritto - Fondo Principale P_MSS_0344 (Biblioteca Civica 'Joppi' Udine)	Italian	teche-udine; folkscanomy
